No,Istilah,Definisi
363,frozen account,"pemblokiran rekening seseorang oleh pemerintah atau oleh aparat penguasa yang berwenang karena berbagai sebab, misalnya sedang dalam pemeriksaan kasus korupsi, pencucian uang."
364,frozen asset,aset atau harta kekayaan yang dibekukan dalam arti tidak dapat diuangkan karena perintah pengadilan atau masih dalam proses sengketa.
365,fund,dana atau sejumlah surat-surat berharga dan harta kekayaan lainnya yang disediakan untuk maksud tertentu sesuai dengan keinginan yang telah direncanakan.
366,funding,"suatu proses mengkonversikan utang jangka pendek dengan bunga tetap ke utang jangka panjang bagi pendanaan oleh otoritas keuangan untuk menurunkan likuiditas dari sistem perbankan, dan bagi perusahaan alat untuk meningkatkan likuiditas jangka pendek."
367,gadai,"suatu hak yang diperoleh seorang berpiutang atas suatu barang bergerak yang diserahkan kepadanya oleh seorang berhutang atau oleh seorang lain atas namanya barang tersebut secara didahulukan dari pada orang-orang berpiutang lainnya; Jika pihak yang berhutang tidak membayar hutangnya, barang tak bergerak yang dipakai sebagai jaminan dijual didepan umum; dengan putusan (persetujuan) Hakim barang tak bergerak tersebut dapat diambil oleh pihak (orang) yang berpiutang [KUH Pdt Psl.1150]."
368,gadai - gadai ulang/herbelening,penyerahan barang jaminan nasabah kepada bank lain sebagai jaminan atas kredit yang ditarik oleh bank yang menyerahkan barang jaminan tersebut.
369,gadai/pand,hak tanggungan atas barang bergerak; barang jaminan harus lepas dari kekuasaan debitur.
370,gadai; surat gadai,"surat yang dibuat oleh pihak yang menggadai (pandhuis, bank, dan lain sebagainya), dengan isi pernyataan tentang barang yang digadai, nilai uang gadai, dan lain sebagainya, dipegang oleh pihak yang menggadaikan barang sewaktu penebusan dan terjadi masalah yang menyangkut dengan barang yang digadaikan dapat dipakai sebagai bukti."
371,ganti kerugian,"hak seorang untuk mendapat pemenuhan atas tuntutannya yang berupa imbalan sejumlah uang karena ditangkap, ditahan, dituntut ataupun diadili tanpa alasan yang berdasarkan undang-undang atau karena kekeliruan mengenai orangnya atau hukum yang diterapkan menurut cara yang diatur dalam undang-undang ini."
372,ganti kerugian (negara),"sejumlah uang atau barang yang dapat dinilai dengan uang yang harus dikembalikan kepada negara/daerah oleh seseorang atau badan yang telah melakukan perbuatan melawan hukum baik sengaja maupun lalai (vide: UU No. 15/2006, Psl 1 angka 16)."
373,ganti; penggantian (conversi),"ketentuan-ketentuan konversi seperti yang tercantum pada Undang-Undang Pokok Argaria adalah mengenai hak-hak atas tanah yang sebelumnya Undang-Undang Pokok Agraria (UUPA) tersebut di undangkan di Indonesia terdapat bermacam-macam hak-hak atas tanah; dengan diundangkannnya UUPA tersebut sekarang hanya dikenal 7 macam hak-hak atas tanah di Indonesia : 1. hak milik; 2. hak guna usaha; 3. hak guna bangunan;  4. hak pakai; 5. hak sewa; 7. hak membuka tanah; 8. hak memungut hasil hutan. Untuk menyeragamkan hukum atas tanah di indonesia bekas jajahan pemerintah Belanda sepertinya ada hak opstal, hak eigendom, hak erfpacht dan lain sebagainya harus dikonversikan menjadi salah satu hak seperti yang tercantum pada UUPA tersebut diatas (UU No. 5/1960 Bagian Kedua Psl.1 IX; bagian ketiga, keempat dan kelima)."
374,ganti; penggantian kerugian (indemniteit/schadeloosstelling),"1. dalam halnya seorang pengacara, pembela, penasehat ataupun wakilnya diminta oleh seorang yang meminta bantuan hukum mengenai upah atau ganti kerugiannya harus ditanggung oleh pihak yang meminta bantuan hukum tersebut [vide: RIB Psl. 379]; 2. melarikan perempuan ataupun seorang gadis baik atas kemauan perempuan itu sendiri ataupun tidak/tanpa kemauan orang tuanya adalah merupakan tindak pidana yang dapat dituntut; tindak pidana ini merupakan klacht delict atau delik aduan [vide: KUHP Psl. 332]."
375,garansi; jaminan (zekerheid; cautie waarborg; garantie),"memaksa dengan kekerasan atau ancaman agar seseorang bertindak, berbuat atau melakukan sesuatu atau sama sekali tidak melakukan sesuatu dengan melawan hak perbuatan itu merupakan tindak pidana yang si pelakunya dapat dituntut ; (delik pengaduan) ~KUHP Psl. 335"
376,garant/borg (bld)/guarantor (ing),penanggung ; penjamin
377,gebrekige getuige (bld)/fault witness (ing),"saksi yang tidak menghadap; Saksi yang diperintahkan menghadap kesidang pengadilan tidak 9mau) datang dan tidak memberikan alasan yang sah Hakim dapat memerintahkan sekali lagi, kalau perlu untuk dibawa serta (RIB Psl.80)."
378,giro bilyet/giro biljet,surat dengan bentuk tententu berisi permintaan nasabah kepada bank untuk memindahbukukan dananya kepada pihak lain.
379,giro/checking accounts,"simpanan yang penarikannya dapat dilakukan setiap saat dengan dengan menggunakan cek, bilyet giro, sarana perintah pembayaran lainnya, atau dengan pemindahbukuan."
380,grace period/masa tenggang,kelonggaran waktu dalam melakukan pengembalian pinjaman pokok dan atau bunganya selama jangka waktu tertentu yang diperlukan guna mencapai suatu tahap tertentu bagi usaha yang bersangkutan agar tidak memberatkan perusahaan tersebut.
381,grantificatie (bld),"(pemberi) hadiah; Gratification (ing), - hadiah uang."
382,grants/hibah,"1. perbuatan hukum memberikan atau mengalihkan sesuatu hak atau benda oleh seseorang ke orang lain tanpa diimbangi dengan prestasi sebaliknya dari pihak yang diberi tersebut; pemberian atau pengalihan suatu hak secara cuma-cuma; hadiah;  2. dalam arti hukum perdata hanyalah dapat mengenai benda-benda yang sudah ada – jika hibah itu diperuntukkan benda-benda yang baru akan ada dikemudian maka sekedar mengenai itu hubahnya adalah menjadi batal; 3. suatu persetujuan antara penghibah (pemberi hibah) dengan penerima hibah untuk memberikan benda-benda yang sudah ada dengan cuma-cuma dimana mereka masih hidup, misalnya hibah antara kedua calon suami istri; 4. hibah wasiat, pemberian dari penghibah kepada penerima hibah dengan lisan (dikatakan) atau tertulis sebagai wasiat atau pesan terakhir sebelum penghibah meninggal dunia – hibah wasiat itu sendiri barulah berlaku setelah penghibah meninggal dunia."
383,gratifikasi PNS,"pemberian dalam arti luas yakni meliputi pemberian uang, barang, rabat (discount), komisi, pinjaman tanpa bunga, tiket perjalanan yang dilakukan baik di dalam maupun di luar negeri dan dilakukan dengan menggunakan sarana elektronik atau tanpa sarana elektronik kepada pegawai negeri sipil yang dianggap sebagai pemberian suap, apabila berhubungan dengan jabatannya dan yang berlawanan dengan kewajiban atau tugasnya."
384,group boycott/boikot grup,persekongkolan di antara para pengusaha untuk tidak menjalin hubungan bisnis dengan pengusaha lain; tindakan ini tergolong tidak baik karena membatasi kebebasan individu untuk meneruskan sendiri apakah ia akan menjalin hubungan bisnis atau tidak dengan pengusaha yang dikenai boikot grup tersebut.
385,guarantee,1. jaminan pihak ketiga untuk menanggung utang atau kewajiaban pihak tertentu apabila ternyata kewajiban tersebut tidak dipenuhi sampai batas waktu yang ditentukan; 2. jaminan pihak penjual atau supplier kepada pembeli berupa perbaikan cuma-Cuma atau mengganti barang yang rusak.
386,guarantee bond,"obligasi yang dijamin, jenis obligasi yang diterbitkan oleh anak  perusahaan yang dijamin dengan sejumlah aktiva perusahaan tersebut disertai jamianan tambahan dari perusahaan induknya."
387,guarantee clause,suatu ketentuan atau klausula dalam kontrak penjaminan pihak ketiga bahwa dia menjamin akan membayar kewajiban dari debitur.
388,guarantee fund,uang jaminan.
389,guarantor,penjamin
390,"guardian (ing), - pengampu; wali; yang menjadi wali/wakil, curator (bld)","pengampu; wali; guardian; curator; istri yang ditinggal mati suaminya dalam keadaan hamil setelah dipanggil/diperiksa oleh yang kompeten, maka Balai Harta Peninggalan (kantor : Wees Kamer) dapat menjadi pengampu si istri tadi demi untuk menyelamatkan, megurus harta kekayaan untuk kepentingan si anak dikemudian hari [vide: KUH Pdt Psl. 348]; Curator atau pengampu dari seorang gila bila mana si gila itu melakukan perbuatan yang menimbulkan akibat hukum si curator dapat dituntut membayar ganti rugi dan lain sebagainya [vide: RIB Psl. 3 bg]."
391,gugat rekonvensi,gugatan yang diajukan oleh tergugat terhadap penggugat dalam sengketa yang sedang berjalan antara mereka.
392,gugat; menggugat (ind),menggugat; menuduh; istilah menggugat lebih tepat diterapkan dalam kasus sengketa perkara perdata atau perkara sipil; dalam kasus pidana atau perkara kejahatan dipakai istilah : menuduh; mendakwa.
393,gugatan balasan (ind); - reconventie,dalam halnya seseorang mendapat gugatan iapun berhak memasukkan atau mengajukan gugatan balasan atau gugatan melawan; gugatan aseli yang telah diajukan ke Pengadilan kepada pihak yang mungkin akan mengadukan gugatan balasan itu dinamakan : conventie.
394,gugatan pajak,upaya hukum terhadap pelaksanaan penagihan pajak sebagaimana diatur dalam peraturan perundang-undangan perpajakan yang bersangkutan.
395,gugatan perseroan,"gugatan yang khusus terbit dalam hukum perseroan, bukan dari hukum acara pada umumnya."
396,gugatan provisional,suatu gugatan untuk memperoleh tindakan sementara selama proses perkara masih berlangsung.
397,gugatan tata usaha negara,permohonan yang berisi tuntutan terhadap badan atau pejabat tata usaha negara dan diajukan ke pengadilan untuk mendapatkan keputusan.
398,H.I.R (Herziene Indonesische Reglement),H.I.R itu berasal dari I.R. atau INLANDSCHE REGLEMENT yang dimuat dalam Stbl thn 1848 – no. 16 jo 57.
399,hak (ind)/Cedent (bld)/ Assignor (ing),"yang memindahkan hak; Cessionaris (bld)/Cessionary; Abandonee (ing), - yang menerima hak."
400,hak alih bayar/recourse,hak seorang pemegang surat berharga untuk memaksa pengendos sebelumnya atas suatu warkat untuk memenuhi kewajibannya berupa pembayaran jika penerbit warkat cedera janji.
401,hak atas kekayaan intelektual (HAKI),"biasa juga disebut hak milik intelektual, mencakup hak cipta (copy right), hak paten (patent) dan merk dagang (trademark). karya-karya intelektual tersebut merupakan gagasan asli yang dihasilkan oleh, umpamanya, industri fotografi, industri ilmiah, industri komputer dan piranti lunak, industri elektronik, industri kendaraan bermotor termasuk cadangannya, industri huburan seperti buku, film, rekaman suara dan video, industri kimia serta industri farmasi. tanpa pengakuan atas hak ini, para pemilik hak karya intelektual dirugikan oleh perbanyakan atau peniruan karya-karya cipta mereka yang dilakukan tanpa meminta ijin dan tanpa pembayaran biaya lisensi serta royalti (uang jasa) pada mereka."
402,hak atas merek,"hak khusus yang diberikan negara kepada pemilik merek yang terdaftar dalam daftar umum merek untuk jangka waktu tertentu menggunakan sendiri merek tersebut, atau memberi ijin kepada seseorang atau beberapa orang secara bersama-sama atau badan hukum untuk menggunakannya."
403,hak atas tanah,"hak yang memberikan kewenangan untuk mempergunakan tanah yang bersangkutan, demikian pula tubuh bumi dan air serta ruang yang ada di atasnya, sekedar diperlukan untuk kepentingan yang berhubungan dengan penggunaan tanah itu."
404,hak beheer,"hak yang tanahnya selain dipergunakan untuk kepentingan instansi yang bersangkutan, dimaksudkan juga untuk dapat diberikan dengan sesuatu hak kepada pihak ketiga."
405,hak beli kembali/pre-emption,hak penjual untuk membeli kembali barang yang telah dijualnya dengan didahulukan daripada calon pembeli lain apabila barang tersebut akan dijual lagi.
406,hak cipta/copy right (ing),"hak eksklusif bagi pencipta atau penerima hak untuk mengumumkan atau memperbanyak ciptaannya atau memberikan izin untuk itu dengan tidak mengurangi pembatasan-pembatasan menurut peraturan perundang-undangan yang berlaku; para penulis (pengarang) dan pencipta seni lainnya hak-hak cipta mereka dilindungi oleh undang-undang; manakala seseorang (pihak lain) menjiplak, mengintip atau mencuri hak cipta orang lain tersebut atas perbuatannya itu merupakan kejahatan atau tindak pidana yang dapat dituntut (KUHP Psl.380)."
407,hak derivatif/derivative right,hak yang diberikan atau dimiliki oleh pemegang saham minoritas agar dapat melakukan tindakan tertentu dalam menjaga atau mewakili perseroan terhadap tindakan organ lainnya dalam perseroan bila kepentingan perseroan dirugikan.
408,hak gadai/lien,"hak kreditur atas harta tertentu sebagai jaminan piutangnya; misalnya, sebuah rumah yang diikat dengan hak tanggungan, apabila tidak dibayar tepat pada waktunya, maka rumah yang dijaminkan bisa dieksekusi untuk melunasi utangnya."
409,hak guna bangunan,"hak untuk mendirikan dan mempunyai bangunan-bangunan atas tanah yang bukan miliknya sendiri, dengan jangka waktu paling lama 30 tahun."
410,hak guna usaha,"hak untuk mengusahakan tanah yang dikuasai langsung oleh negara dalam jangka waktu paling lama 25 tahun guna perusahaan pertanian, perikanan, atau peternakan, dapat diperpanjang dengan waktu paling lama 25 tahun."
411,hak jaminan,"memberi kepada yang berhak/kreditor hak didahulukan untuk mengambil pelunasan dari hasil penjualan barang yang dibebani, seperti gadai, hipotek, credietverband, hak tanggungan atas tanah, hak fiducia, dan lain-lain."
412,hak kebendaan/zakelijkrec,"hak yang memberikan kekuasaan langsung atas suatu benda dan dapat dipertahankan terhadap siapa pun, misalnya hak milik, hak hipotek, dan hak jaminan utang."
413,hak memungut hasil,"hak untuk menarik (memungut) hasil dari benda orang lain, seolah-olah benda itu miliknya sendiri, dengan kewajiban untuk menjaga benda tersebut tetap dalam keadaan seperti semula."
414,hak menikmati hasil/usufruct,hak memakai dan menikmati hasil suatu benda milik orang lain tanpa hak untuk memilikinya.
415,hak mutlak/absolute title,"hak tertinggi yang dapat diperoleh melalui pendaftaran hak, misalnya melalui pendaftaran tanah. hak ini bersifat mutlak sehingga tidak dapat dicabut oleh pihak mana pun; di Indonesia hak atas tanah berfungsi sosial."
416,hak oktroi/paten/patent,hak kepemilikan yang diberikan oleh pemerintah kepada seseorang atas apa yang diciptakan disertai dengan perlindungan hukum terhadap kemungkinan timbulnya pemalsuan oleh pihak lain.
417,hak pakai,"hak untuk menggunakan dan/atau memungut hasil dari tanah yang dikuasai langsung oleh negara atau tanah milik orang lain, yang memberi wewenang dan kewajiban yang ditentukan dalam keputusan pemberiannya oleh pejabat yang berwenang memberikannya atau dalam perjanjian dengan pemilik tanahnya, yang bukan perjanjian sewa-menyewa atau perjanjian pengolahan tanah, segala sesuatu asal tidak bertentangan dengan jiwa dan ketentuan-ketentuan undangundang."
418,hak pengelolaan,"hak yang khusus untuk keperluan pengembangan dan pembangunan kawasan industri, pembangunan perumahan pada umumnya serta proyek-proyek pemerintah pusat/daerah yang khusus diberikan kepada badan-badan hukum yang modalnya sebagian/seluruhnya milik negara."
419,hak pensiun/vested,hak untuk memperoleh manfaat pensiun karyawan yang harus dibayarkan dan tidak diadakan penundaan atas hak tersebut apabila karyawan telah memenuhi jangka waktu minimum untuk menerima hak dimaksud.
